All traffic signals
PX,Main,Mid Block,Side 1,Side 2,Private Access,Additional Info,Geo ID,Node ID,X,Y,Latitude,Longitude,Activation Date,Signal System,Non system,Mode of Control,Pedestrian Walk speed,APS,Transit Preempt,Fire preempt,Rail preempt,No. of Signalized Approaches
"0002","JARVIS ST","","FRONT ST E","","","","11075761","13466793","315152.9835","4834175.6594","43.649417999999997","-79.371446000000006","1948-11-15 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","0","0","0","4"
"0003","KING ST E","","JARVIS ST","","","","8344825","13466630","315116.598","4834288.218","43.6504606","-79.3719239","1950-08-23 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","1","","","4"
"0004","JARVIS ST","","ADELAIDE ST E","","","","1145167","13466455","315079.997","4834406.329","43.6515337","-79.37236","1958-09-12 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0005","JARVIS ST","","RICHMOND ST E","","","","1144943","13466268","315042.1702","4834537.0152","43.6527176","-79.372824","1962-04-21 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0006","JARVIS ST","","QUEEN ST E","","","","14024688","13466110","315007.8977","4834650.7888","43.653704","-79.373238","1928-08-24 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0007","JARVIS ST","","SHUTER ST","","","","14021175","13465860","314954.1778","4834832.0895","43.655357","-79.373862","1948-11-18 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0008","JARVIS ST","","DUNDAS ST E","","","","14021174","13465569","314901.487","4835021.437","43.657052","-79.374531","1928-06-21 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0009","JARVIS ST","","GERRARD ST E","","","","2597802","13465038","314793.435","4835395.961","43.660432","-79.3758537","1941-07-14 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0010","JARVIS ST","","CARLTON ST","","","","1143470","13464719","314727.18","4835615.776","43.66242","-79.3767079","1928-06-28 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0011","JARVIS ST","","WELLESLEY ST E","","","","6522648","13464096","314595.096","4836045.113","43.6662894","-79.378325","1948-09-28 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0012","JARVIS ST","","ISABELLA ST","","","","1142453","13463674","314505.553","4836334.792","43.668869","-79.3794158","1960-09-13 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
"0013","MOUNT PLEASANT RD","","CHARLES ST E","JARVIS ST","","","7753909","13463463","314468.791","4836454.73","43.6699892","-79.3799226","1950-05-23 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0014","BLOOR ST E","","TED ROGERS WAY","","250 BLOOR ST E","","8536222","13463195","314415.25","4836636.5","43.6715773","-79.38052","1951-03-28 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","1","","","","4"
"0015","CHURCH ST","","FRONT ST E","WELLINGTON ST E","","","14254940","14254942","314965.855","4834063.381","43.648513175952","-79.3738335371017","1950-04-24 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0016","KING ST E","","CHURCH ST","","","","14036413","13466729","314915.108","4834227.693","43.6499164","-79.374409","1928-01-10 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","1","","","4"
"0017","CHURCH ST","","ADELAIDE ST E","","","","8313442","13466516","314871.8198","4834368.0291","43.651173","-79.374925","1948-11-22 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0018","CHURCH ST","","RICHMOND ST E","","","","8313131","13466312","314828.8656","4834510.2235","43.652441","-79.375448","1948-11-22 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0019","QUEEN ST E","","CHURCH ST","","","","14036376","13466199","314804.79","4834588.22","43.65317","-79.375754","1983-08-24 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","1","","","4"
"0020","CHURCH ST","","SHUTER ST","","","","7642433","13465946","314749.0342","4834772.6594","43.654817","-79.376441","1948-11-18 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0021","DUNDAS ST E","","CHURCH ST","","","","1144608","13465671","314693.38","4834958.29","43.656499","-79.377127","1952-12-17 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","1","","","4"
"0022","CHURCH ST","","GERRARD ST E","","","","7642005","13465140","314580.931","4835331.076","43.659858","-79.378522","1941-07-18 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0023","CHURCH ST","","CARLTON ST","","","","7730328","13464821","314512.9","4835555.14","43.661871","-79.379335","1932-02-17 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0024","CHURCH ST","","WELLESLEY ST E","","","","7731514","13464212","314384.51","4835982.3","43.6657034","-79.380928","1941-07-18 00:00:00.0","SCOOT","","FXT","1.2 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
"0025","BLOOR ST E","","CHURCH ST","","","","6522404","13463285","314206.16","4836573.5","43.6710224","-79.383123","1932-02-19 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0026","ADELAIDE ST E","","VICTORIA ST","","","","14036811","13466609","314683.92","4834312.19","43.6506539","-79.377248","1928-09-27 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0027","VICTORIA ST","","RICHMOND ST E","","","","6624518","13466399","314644.8257","4834454.1108","43.6519522","-79.377756","1927-11-03 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0028","QUEEN ST E","","VICTORIA ST","","","","11272989","13466287","314617.86","4834533.9","43.6526703","-79.378066","1927-11-03 00:00:00.0","TransSuite","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","1","1","","","4"
"0029","YONGE ST","","FRONT ST","","","","1146204","13467239","314708.97","4833889.98","43.646846","-79.376931","1928-08-24 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0030","YONGE ST","","WELLINGTON ST","","","","14025299","13467080","314676.846","4833996.745","43.6478484","-79.377351","1964-01-06 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0031","YONGE ST","","KING ST","","","","8677261","13466851","314632.4271","4834141.3849","43.6491624","-79.377904","1927-11-03 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0032","YONGE ST","","ADELAIDE ST","","","","14036810","13466653","314587.716","4834281.153","43.650419","-79.378436","1928-01-10 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0033","YONGE ST","","RICHMOND ST","","","","8676918","13466444","314545.9982","4834423.8079","43.651697","-79.378965","1927-11-03 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0034","YONGE ST","","QUEEN ST","","","","11226820","13466322","314523.728","4834506.857","43.6524209","-79.379276","1927-11-03 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0035","YONGE ST","","SHUTER ST","","PARKING GARAGE","","7762738","13466083","314465.842","4834687.108","43.654066","-79.379957","1959-03-12 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0036","YONGE ST","","DUNDAS ST","","","","7762832","13465714","314388.69","4834938.73","43.656326","-79.380912","1927-04-04 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0037","YONGE ST","","GERRARD ST","","","","7730086","13465263","314292.14","4835246.02","43.6590897","-79.382096","1929-07-09 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
